ra dec stellar_mass r50_s11 r50_nsa bar_fraction B_T
127.2521638165837 39.02044067190557 10.499191284179688 4.99 4.265203034249228 0.308 0.33
209.77254009353965 15.832726692612638 10.50646686553955 9.48 8.701303542816268 0.927 0.22
222.84265726343162 -0.37560120640200473 10.081034660339355 1.68 1.520863071977191 0.05 0.55
193.6283343624785 35.296888787201226 10.00979995727539 5.7 5.573185380187704 0.121 0.2
245.484107556529 31.300556351092045 10.204083442687988 4.76 4.3815321066964925 0.971 0.11
242.81005171219655 24.225021892303964 10.574666023254395 2.39 2.0296513841257684 0.65 0.51
207.58234797426573 0.5480984914975232 10.170182228088379 3.85 3.9118943178737693 0.697 0.1
162.62723994166197 12.50230427619135 10.72986888885498 6.21 5.469794321295903 0.412 0.17
161.75089613817147 19.74916967117854 10.593294143676758 5.14 4.497733269187406 0.16 0.23
160.7959384890575 37.27306509419104 10.379484176635742 4.03 3.6742133918252264 0.053 0.56
26.193864064516898 0.27228678815230883 10.62359619140625 5.22 5.3055902049402555 0.591 0.71
135.67288872728574 16.239895030604295 10.54094409942627 6.05 6.0305644176882955 0.171 0.46
150.67577475231647 53.92473486397229 10.593413352966309 5.16 4.072519085585383 0.649 0.64
227.37974250325613 6.155903728087554 10.55422592163086 4.69 3.768798306340204 0.0 0.72
215.23560103017107 3.8715301544772784 10.712580680847168 3.51 3.164105178537399 0.269 0.32
246.20108940746988 30.740457116049786 10.470458984375 7.91 7.964535379631096 0.294 0.05
233.7753436805198 35.34291388512338 10.390335083007812 2.85 2.830971658401262 0.074 0.23
142.72251291328828 25.749438374381196 10.36547565460205 4.32 3.952806825510835 0.268 0.51
227.60085643929207 45.166139245435744 10.687644004821777 9.05 7.880346683937824 0.115 0.06
161.35068353668544 20.340918282892247 10.861998558044434 11.23 9.948918819876901 0.853 0.18
154.62172078456672 25.289837709559343 10.025432586669922 8.46 10.225378454170949 0.164 0.08
202.6303395322716 12.519527857969383 10.737700462341309 7.13 5.859237341313497 0.686 0.21
162.4186461774912 19.589038892095306 10.297343254089355 7.33 6.657276060707651 0.122 0.04
144.79983538041068 65.10246038034552 10.290563583374023 6.14 5.3720124846771276 0.282 0.11
169.3554290754637 2.9697259622895444 10.648982048034668 4.68 4.541740347991453 0.135 0.21
248.71843681764784 40.19477116730623 10.49901294708252 2.58 2.542471476189869 0.19 0.42
151.00423753129797 54.573071896050145 10.368491172790527 2.23 2.34730128968723 0.921 0.54
244.6868919400315 25.652143247267226 11.06712532043457 7.41 7.114099371014067 0.474 0.17
226.78965440790662 9.63556116250301 10.725963592529297 11.79 10.23205763833195 0.02 0.08
158.50382133730784 42.262695063626936 10.237635612487793 5.65 5.3867077808197585 0.036 0.0
237.5317947648556 46.18971552034659 10.33504581451416 6.33 5.555504288782292 0.139 0.34
216.8073507185427 19.11258857126649 10.421829223632812 4.2 3.823038327360598 0.692 0.23
186.79552659149368 53.40343859940898 10.241933822631836 4.68 4.718283380218361 0.182 0.98
158.92437689119987 23.320346746842663 10.1228609085083 2.12 1.5584592244804947 0.769 0.93
141.67526665509163 1.486851739721679 10.601184844970703 4.1 3.7347059826415214 0.731 0.5
232.74491627240158 8.512465066991847 10.357495307922363 4.91 4.988455855055982 0.086 0.49
188.1070707106868 36.29488374926399 10.495678901672363 3.2 2.840402305815659 0.848 0.45
255.40435982791928 22.886848616661872 10.070287704467773 6.7 5.965781933904772 0.156 0.05
144.8909300055318 25.712265284675897 10.402972221374512 5.24 4.350743550397491 0.818 0.21
217.46751688572976 5.376812847755014 10.127300262451172 4.05 3.8148285717795387 0.0 0.1
196.77409024574794 7.591149961060018 10.310613632202148 6.42 5.37583929206498 0.125 0.27
227.88681686767652 9.612523022596115 10.571647644042969 6.82 6.471758446065891 0.027 0.1
156.58616819007347 23.247155268911527 10.201345443725586 6.42 6.489875496632879 0.125 0.9
255.08930866109995 23.128683494417743 10.543119430541992 5.38 5.128655760157624 0.15 1.0
253.05416360192623 23.307684501743694 10.220436096191406 4.46 4.1026653776488216 0.182 0.08
241.34661984863027 30.43935155050751 10.4691162109375 2.96 2.901251642132269 0.32 0.44
251.00041201059622 25.710728467932736 10.2150239944458 5.17 4.665134856857411 0.2 0.09
198.67094211324266 26.087460729057433 10.300643920898438 1.94 1.7998405664852057 0.429 0.44
141.42488657569385 2.239677050943737 10.90815258026123 9.7 8.521267854674123 0.116 0.3
161.05865120038717 10.877091615757 11.024968147277832 7.0 6.161668690645164 0.378 0.33
136.44724535183624 36.77869814988068 11.043998718261719 5.77 4.606919864625131 0.64 0.47
186.91845566696895 53.492483581613996 10.12427806854248 2.93 2.737873687306313 0.226 0.07
228.3367050956676 2.513768597500529 11.23674201965332 11.89 10.980926391838532 0.172 0.29
155.66077060737445 12.014544836222528 10.171758651733398 5.46 5.374087686579142 0.077 1.0
190.25670890242804 36.25762316401438 10.239208221435547 3.38 2.9892977476478655 0.35 0.24
218.36038060857726 12.577621479923156 10.289592742919922 3.33 3.0954884872156505 0.111 0.15
